SELLDATE,SELLMONTH,SELLYEAR,ADDRESS,CITY,STATE,ZIP, PRICE ,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YARDSPACE,YEARBUILT,SELLAGE,PRICE/SQFT,HOA/MONTH,MLS#,LATITUDE,LONGITUDE
2-Jul-21,Jul-21,2021,2031 Courtland Dr,Frisco,TX,75034,"$1,849,000.00 ",6,5.5,The Hills Of Kingswood Ph 1,6930,20212,13282,2014,7,$266.81 ,200,14573983,33.1097098,-96.8740121
23-Jun-21,Jun-21,2021,2082 Kennedy Dr,Frisco,TX,75034,"$650,000.00 ",4,3.5,The Hills Of Kingswood Ph 2,2937,8973,6036,2015,6,$221.31 ,150,14571284,33.108059,-96.873104
7-May-21,May-21,2021,1631 Sandstone Dr,Frisco,TX,75034,"$700,000.00 ",5,4.5,Lakeside At Lone Star Ranch,5268,8973,3705,2005,16,$132.88 ,95,14543826,33.1179581,-96.8767703
17-Jun-21,Jun-21,2021,1157 Timber Ln,Frisco,TX,75036,"$599,000.00 ",4,3.5,Stone Creek Village Ph 1,3574,10019,6445,2002,19,$167.60 ,95,14573400,33.1217667,-96.8822402
9-Sep-21,Sep-21,2021,4177 Berry Ridge Ln,Frisco,TX,75036,"$620,000.00 ",5,4,Highland Ridge Ph 2,3510,9148,5638,2014,7,$176.64 ,93,14627650,33.11504,-96.890116
18-Nov-22,Nov-22,2022,736 Lismore Dr,Frisco,TX,75036,"$999,999.00 ",5,6,Mainvue At Phillips Creek Ranc,4344,7797,3453,2016,6,$230.20 ,192,20163755,33.121608,-96.886329
30-Nov-22,Nov-22,2022,3371 Starling Dr,Frisco,TX,75034,"$1,399,000.00 ",4,4,The Hills Of Kingswood Ph 2,4515,9235,4720,2017,5,$309.86 ,150,20181693,33.1067863,-96.8750805
19-Aug-22,Aug-22,2022,535 Laverton Dr,Frisco,TX,75036,"$1,200,000.00 ",5,6,Mainvue At Phillips Creek Ranc,4359,9888,5529,2020,2,$275.29 ,197,20090703,33.1193034,-96.8887621
19-May-21,May-21,2021,1397 Bentgrass Dr,Frisco,TX,75036,"$629,900.00 ",5,4.5,Austin Ridge At Lone Star Ranc,3996,10193,6197,2012,9,$157.63 ,95,14549124,33.1194648,-96.8794617
19-Nov-21,Nov-21,2021,4475 Lindenwood Dr,Frisco,TX,75034,"$820,000.00 ",5,4.5,Lakeside At Lone Star Ranch,5158,8712,3554,2004,17,$158.98 ,47,14651305,33.1173697,-96.8746825
12-Dec-22,Dec-22,2022,2059 Lilac Ln,Frisco,TX,75034,"$4,395,000.00 ",5,6,The Hills Of Kingswood Ph 1,7253,35763,28510,2016,6,$605.96 ,275,20173558,33.1113166,-96.8734255
6-Mar-23,Mar-23,2023,1672 Hidalgo Ln,Frisco,TX,75034,"$3,095,000.00 ",5,6,HILLS OF KINGSWOOD,5942,14375,8433,2018,5,$520.87 ,200,20188138,33.1084602,-96.8771792
24-Jun-21,Jun-21,2021,4957 Manor Ln,Frisco,TX,75036,"$515,000.00 ",4,3.5,Austin Ridge At Lone Star Ranc,3408,5837,2429,2012,9,$151.12 ,41,14550671,33.120564,-96.879369
2-Feb-23,Feb-23,2023,3311 Harvest Glen Dr,Frisco,TX,75034,"$1,099,990.00 ",4,4,The Hills Of Kingswood Ph 2,4527,,0,2019,4,$242.98 ,200,20211970,33.1067359,-96.8740121
12-Mar-21,Mar-21,2021,1756 Hidalgo Ln,Frisco,TX,75034,"$2,395,000.00 ",5,6.5,Hills Of Kingswood,6673,15507,8834,2019,2,$358.91 ,200,14404076,33.1088671,-96.8764361
30-Sep-21,Sep-21,2021,3480 Harvest Glen Dr,Frisco,TX,75034,"$1,170,099.00 ",4,4,The Hills Of Kingswood Ph 2,4599,12110,7511,2016,5,$254.42 ,150,14627965,33.1076041,-96.8737674
9-Dec-22,Dec-22,2022,4540 Twisting Trl,Frisco,TX,75036,"$735,000.00 ",5,4.5,Austin Ridge At Lone Star Ranc,3749,6447,2698,2013,9,$196.05 ,100,20139539,33.116588,-96.884503
27-Dec-21,Dec-21,2021,1515 Courtland Dr,Frisco,TX,75034,"$2,499,000.00 ",5,6,The Hills Of Kingswo,6197,14636,8439,2021,0,$403.26 ,250,14533522,33.108311,-96.878589
