SOLD_MONTH,PROPERTYTYPE,ADDRESS,CITY,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUAREFEET,LOTSIZE,YEARBUILT,Price_per_sqrt,HOA_MONTH,MLS,LATITUDE,LONGITUDE
,Single Family Residential,10301 Noel Dr,Frisco,75035,525000,4,2.5,Hillcrest Meadows Ph I,2956,9148,1999,178,25,14587218,33.119048,-96.7903465
,Single Family Residential,9719 Bell Rock Rd,Frisco,75035,424900,3,2,Sedona Ph Two,1906,6098,2009,223,57,14649661,33.1381144,-96.7978894
,Single Family Residential,10016 Concord Dr,Frisco,75035,389900,3,2.5,Preston Vineyards Sec One,1869,5663,1989,209,,14686968,33.1358286,-96.7945223
,Single Family Residential,5405 Lafayette Dr,Frisco,75035,565000,4,3.5,Plantation Resort Lake Brook Farms Ph 6,2781,7841,1997,203,,14678475,33.1231505,-96.7767333
,Single Family Residential,10700 Jackson Ln,Frisco,75035,615000,4,2.5,Plantation Resort Ph Id The,2680,8712,1994,229,30,20055671,33.1304042,-96.7864819
,Single Family Residential,4801 Baton Rouge Blvd,Frisco,75035,399500,3,2,Plantation Resort Ph Iid The,1777,8276,1995,225,28,14638374,33.1180492,-96.7876953
,Single Family Residential,11410 New Orleans Dr,Frisco,75035,490000,4,2,Plantation Resort Ph 2a The,2027,7405,1995,242,30,20215528,33.126524,-96.7790344
,Single Family Residential,11846 Barrymore Dr,Frisco,75035,525000,6,3.5,Parkside Estates 2,3870,8712,2003,136,21,14549669,33.1370035,-96.7762395
,Single Family Residential,11560 Fountainbridge Dr,Frisco,75035,425000,4,3,Lakes Of Preston Vineyards Villages Ph Five The,2388,3920,2002,178,53,20061388,33.13697,-96.778949
,Single Family Residential,11402 New Orleans Dr,Frisco,75035,475000,4,2,Plantation Resort Ph 2a The,2027,7405,1995,234,30,20078142,33.1263723,-96.7794109
,Single Family Residential,5113 Promise Land Dr,Frisco,75035,475000,5,3,Plantation Resort Augusta Farm,3027,5663,1992,157,16,14655335,33.121042,-96.7866473
,Single Family Residential,9962 Bell Rock Rd,Frisco,75035,450000,3,2,Sedona Ph Two,2083,4356,2010,216,49,20019637,33.1384804,-96.7956863
,Single Family Residential,12105 Chattanooga Dr,Frisco,75035,410900,3,2,PLANTATION RESORT PHASE IIIB THE (CFR),1582,6098,1996,260,28,14704569,33.129715,-96.772508
